web_scraper_order,web_scraper_start_url,image_link,address,price,type clothes
"1765138283-425","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3981018_uploaded_image1_1669456009.jpg","Colobane, Dakar, Sénégal","7 500CFA","Ensemble velours enfant"
"1765138283-426","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3980114_uploaded_image1_1669389815.jpg","Colobane, Dakar, Sénégal","7 500CFA","Ensemble en velours"
"1765138283-427","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_4010206_uploaded_image1_1671121329.jpg","Bambey, Sénégal","3 000CFA","Habits enfants"
"1765138283-428","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3963440_uploaded_image1_1668361934.jpg","Dakar Plateau, Dakar, Sénégal","8 000CFA","Ensemble enfant"
"1765138283-429","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3963439_uploaded_image1_1668361869.jpg","Dakar Plateau, Dakar, Sénégal","8 000CFA","Ensemble enfant"
"1765138283-430","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_4000087_uploaded_image1_1670513612.jpg","Colobane, Dakar, Sénégal","1 000CFA","Ensemble enfant friperie"
"1765138283-431","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_4000076_uploaded_image2_1670513327.jpeg","Colobane, Dakar, Sénégal","Prix sur demande","Pull enfant friperie"
"1765138283-432","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3991237_uploaded_image1_1670029654.jpg","Dieuppeul-Derklé, Dakar, Sénégal","10 000CFA","Maillots Sénégal enfants"
"1765138283-433","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3990865_uploaded_image1_1670005692.jpg","Dakar, Sénégal","28 000CFA","Ensemble Robe enfants"
"1765138283-434","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3990863_uploaded_image1_1670005513.jpg","Dakar, Sénégal","27 000CFA","Costume garçon"
"1765138283-435","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3990860_uploaded_image1_1670005358.jpg","Dakar, Sénégal","28 000CFA","Costume garçon"
"1765138283-436","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3981315_uploaded_image1_1669469071.jpg","Guediawaye, Dakar, Sénégal","Prix sur demande","Vêtements enfant"
"1765138283-437","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3933191_uploaded_image1_1666560773.jpg","Dakar, Sénégal","Prix sur demande","Vêtements Enfant"
"1765138283-438","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3968398_uploaded_image1_1668639636.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtements friperies  enfant"
"1765138283-439","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3954905_uploaded_image1_1667839511.jpg","Dieuppeul-Derklé, Dakar, Sénégal","10 000CFA","Maillots Sénégal enfant"
"1765138283-440","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3913283_uploaded_image1_1665352048.jpg","Dakar, Sénégal","8 500CFA","Ensemble enfants"
"1765138283-441","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3913279_uploaded_image1_1665351880.jpg","Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138283-442","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3941399_uploaded_image1_1667092572.jpg","Cambérène, Dakar, Sénégal","4 000CFA","Ensembles pull  enfants"
"1765138283-443","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3883008_uploaded_image1_1663536149.jpg","Dakar, Sénégal","8 500CFA","Polo pour enfants"
"1765138283-444","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3919617_uploaded_image1_1665702485.jpg","Medina, Dakar, Sénégal","9 000CFA","Robes  enfant"
"1765138283-445","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3919579_uploaded_image1_1665700272.jpg","Medina, Dakar, Sénégal","10 000CFA","Vêtements enfant"
"1765138283-446","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3919556_uploaded_image2_1665704351.jpeg","Medina, Dakar, Sénégal","2 000CFA","Grenouillères"
"1765138283-447","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3913936_uploaded_image1_1665405195.jpg","Dakar, Sénégal","5 000CFA","Polos enfants"
"1765138283-448","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3913465_uploaded_image3_1665377950.jpeg","Dakar, Sénégal","7 500CFA","Grenouillère"
"1765138283-449","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3913427_uploaded_image1_1665364741.jpg","Dakar, Sénégal","10 000CFA","Coffret nouveaux née"
"1765138283-450","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3913424_uploaded_image1_1665364359.jpg","Dakar, Sénégal","11 000CFA","Ensemble Robe Turquie"
"1765138283-451","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3861861_uploaded_image1_1662248159.jpg","HLM, Dakar, Sénégal","9 000CFA","Peignoir bébé"
"1765138283-452","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3899030_uploaded_image1_1664501471.jpg","Parcelle Assainies, Dakar, Sénégal","7 000CFA","Ensembles enfants"
"1765138283-453","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3899029_uploaded_image1_1664501377.jpg","Parcelle Assainies, Dakar, Sénégal","6 500CFA","Ensemble enfants"
"1765138283-454","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3858243_uploaded_image1_1662081635.jpg","HLM, Dakar, Sénégal","Prix sur demande","Accessoires et vetements bébé"
"1765138283-455","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3895855_uploaded_image1_1664312610.jpg","Dakar, Sénégal","16 000CFA","Ensemble  3 pièces enfants"
"1765138283-456","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3874861_uploaded_image1_1662992831.jpg","Dakar, Sénégal","6 000CFA","Barboteuse"
"1765138283-457","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3874843_uploaded_image1_1662992214.jpg","Dakar, Sénégal","5 000CFA","Pantalon"
"1765138283-458","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3886071_uploaded_image2_1663709027.jpeg","Dakar, Sénégal","16 000CFA","Vêtements enfant"
"1765138283-459","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3836735_uploaded_image1_1660867040.jpg","Dakar, Sénégal","Prix sur demande","Ensemble enfants"
"1765138283-460","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3829807_uploaded_image1_1660481871.jpg","Dakar, Sénégal","5 000CFA","Ensemble enfants"
"1765138283-461","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3826455_uploaded_image1_1660258744.jpg","Dakar, Sénégal","5 500CFA","Ensemble enfants"
"1765138283-462","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3871259_uploaded_image1_1662747991.jpg","Keur Massar, Sénégal","3 000CFA","Vêtements bébé fille"
"1765138283-463","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3871253_uploaded_image1_1662747853.jpg","Keur Massar, Sénégal","3 000CFA","Vêtements bébé"
"1765138283-464","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3818666_uploaded_image1_1659825338.jpg","Dakar, Sénégal","5 500CFA","Vêtements enfant"
"1765138283-465","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3862904_uploaded_image1_1662326635.jpg","Almadies, Dakar, Sénégal","Prix sur demande","Costumes héros"
"1765138283-466","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3853493_uploaded_image1_1661883220.jpg","Dakar Plateau, Dakar, Sénégal","10 000CFA","Robe d’anniversaire fille"
"1765138283-467","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3853488_uploaded_image1_1661883039.jpg","Dakar Plateau, Dakar, Sénégal","7 000CFA","Robe d’anniversaire fille"
"1765138283-468","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3813301_uploaded_image1_1659543149.jpg","Dakar, Sénégal","1 500CFA","Ensemble bandeaux chaussettes"
"1765138283-469","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3813274_uploaded_image1_1659542533.jpg","Dakar, Sénégal","5 000CFA","Barboteuse"
"1765138283-470","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3808232_uploaded_image1_1659347593.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Boubou bazin riche"
"1765138283-471","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3848809_uploaded_image1_1661581124.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Dessous enfants"
"1765138283-472","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3841152_uploaded_image1_1661173639.jpg","HLM, Dakar, Sénégal","3 000CFA","Vêtements bébé"
"1765138283-473","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3841108_uploaded_image1_1661172378.jpg","HLM, Dakar, Sénégal","6 000CFA","Vêtements bébé"
"1765138283-474","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3831624_uploaded_image1_1660600357.jpg","Guediawaye, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138283-475","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3785558_uploaded_image1_1657883008.jpg","Dakar, Sénégal","3 000CFA","Habits enfants"
"1765138283-476","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3785563_uploaded_image1_1657883218.jpg","Dakar, Sénégal","8 000CFA","Robe petite fille"
"1765138283-477","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3785562_uploaded_image1_1657883147.jpg","Dakar, Sénégal","8 000CFA","Jeans enfants"
"1765138283-478","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3785559_uploaded_image1_1657883070.jpg","Dakar, Sénégal","8 000CFA","Vêtements enfants"
"1765138283-479","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3785557_uploaded_image1_1657882962.jpg","Dakar, Sénégal","7 000CFA","Habits enfants"
"1765138283-480","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3825327_uploaded_image1_1660216212.jpg","Dakar, Sénégal","2 000CFA","Robe d'été enfants"
"1765138283-481","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3778201_uploaded_image1_1657304423.jpg","Dakar, Sénégal","Prix sur demande","Ensembles enfants"
"1765138283-482","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3775607_uploaded_image1_1657150534.jpg","Dakar, Sénégal","Prix sur demande","Ensemble enfants"
"1765138283-483","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3799617_uploaded_image1_1658807678.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Vêtement enfant"
"1765138283-484","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3795696_uploaded_image1_1658520434.jpg","Dakar, Sénégal","27 000CFA","Costume garçon  - 4 pièces"
"1765138283-485","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3794471_uploaded_image1_1658452420.jpg","Dieuppeul-Derklé, Dakar, Sénégal","10 000CFA","Maillots Sénégal  enfant"
"1765138283-486","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3794079_uploaded_image1_1658423773.jpg","Patte d'oie, Dakar, Sénégal","Prix sur demande","Protège-tête"
"1765138283-487","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3754887_uploaded_image1_1655981354.jpg","Dakar, Sénégal","8 000CFA","Robe enfant"
"1765138283-488","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3754885_uploaded_image1_1655981294.jpg","Dakar, Sénégal","7 000CFA","Robe enfant"
"1765138283-489","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3754884_uploaded_image1_1655981242.jpg","Dakar, Sénégal","8 000CFA","Robe enfant"
"1765138283-490","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3754882_uploaded_image1_1655981151.jpg","Dakar, Sénégal","8 000CFA","Robe enfant"
"1765138283-491","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3753646_uploaded_image1_1655912715.jpg","Dakar, Sénégal","5 000CFA","Vêtement enfant"
"1765138283-492","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3753641_uploaded_image1_1655912626.jpg","Dakar, Sénégal","12 000CFA","Robes enfant"
"1765138283-493","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3768719_uploaded_image1_1656779104.jpg","HLM, Dakar, Sénégal","4 000CFA","Ensemble bébé"
"1765138283-494","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3786149_uploaded_image1_1657906956.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Vêtement enfant"
"1765138283-495","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3781038_uploaded_image1_1657571200.jpg","Dakar Plateau, Dakar, Sénégal","8 000CFA","Peignoirs enfants"
"1765138283-496","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3778481_uploaded_image1_1657328456.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Robes enfants"
"1765138283-497","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3735826_uploaded_image1_1654860349.jpg","Dakar, Sénégal","10 000CFA","Ensemble peignoir pour enfants"
"1765138283-498","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3768713_uploaded_image1_1656778816.jpg","HLM, Dakar, Sénégal","6 000CFA","Vêtements bébé"
"1765138283-499","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3761395_uploaded_image3_1656377774.jpeg","Keur Massar, Sénégal","Prix sur demande","Robe enfant"
"1765138283-500","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3761389_uploaded_image2_1656377165.jpeg","Keur Massar, Sénégal","Prix sur demande","Robe enfant"
"1765138283-501","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3718353_uploaded_image1_1653956742.jpg","Dakar, Sénégal","5 000CFA","Vêtements enfant"
"1765138283-502","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3758410_uploaded_image1_1656180793.jpg","Biscuiterie, Dakar, Sénégal","15 000CFA","Robes enfants"
"1765138283-503","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3715721_uploaded_image1_1653759789.jpg","Dakar, Sénégal","1 500CFA","Sous vêtements bébé"
"1765138283-504","https://sn.coinafrique.com/categorie/vetements-enfants?page=5","https://images.coinafrique.com/thumb_3715720_uploaded_image1_1653759706.jpg","Dakar, Sénégal","3 500CFA","Ensemble enfants"
"1765138286-505","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4375129_uploaded_image1_1694610764.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtement enfant"
"1765138286-506","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4375124_uploaded_image1_1694610661.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtements friperies  enfant"
"1765138286-507","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4340725_uploaded_image1_1692365333.jpg","Ngor, Dakar, Sénégal","15 300CFA","Ensemble vêtement enfant"
"1765138286-508","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4340716_uploaded_image1_1692364927.jpg","Ngor, Dakar, Sénégal","9 000CFA","T-shirt"
"1765138286-509","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4333845_uploaded_image1_1691951676.jpg","Dakar Plateau, Dakar, Sénégal","6 500CFA","Vêtement enfant"
"1765138286-510","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4330580_uploaded_image1_1691701473.jpg","Dakar Plateau, Dakar, Sénégal","6 500CFA","Vêtement enfants"
"1765138286-511","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4330576_uploaded_image1_1691701385.jpg","Dakar Plateau, Dakar, Sénégal","Prix sur demande","Vêtement  enfant"
"1765138286-512","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4327566_uploaded_image1_1691526561.jpg","Dakar Plateau, Dakar, Sénégal","4 500CFA","Vêtement enfant"
"1765138286-513","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4344836_uploaded_image1_1692651906.jpg","Thies, Sénégal","2 000CFA","Maillot enfant"
"1765138286-514","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4314416_uploaded_image1_1690724018.jpg","Colobane, Dakar, Sénégal","2 000CFA","Vêtements enfants"
"1765138286-515","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4338195_uploaded_image1_1692223604.jpg","HLM, Dakar, Sénégal","Prix sur demande","Couette bébé"
"1765138286-516","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4288629_uploaded_image1_1688997320.jpg","Colobane, Dakar, Sénégal","8 500CFA","Djellaba enfants"
"1765138286-517","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4316063_uploaded_image2_1690843428.jpeg","Dakar, Sénégal","6 000CFA","Pyjama bébé"
"1765138286-518","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4304204_uploaded_image1_1690023768.jpg","Ngor, Dakar, Sénégal","15 000CFA","Culotte Berksha enfant"
"1765138286-519","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4268608_uploaded_image1_1687563200.jpg","Colobane, Dakar, Sénégal","8 000CFA","Vêtements enfants"
"1765138286-520","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4268605_uploaded_image1_1687563103.jpg","Colobane, Dakar, Sénégal","8 000CFA","Vêtements enfants"
"1765138286-521","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4267930_uploaded_image1_1687524110.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138286-522","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4267915_uploaded_image1_1687523597.jpg","Colobane, Dakar, Sénégal","10 000CFA","Ensemble pour enfants"
"1765138286-523","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4266992_uploaded_image1_1687458981.jpg","Colobane, Dakar, Sénégal","8 000CFA","Vêtements enfants"
"1765138286-524","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4265951_uploaded_image1_1687419299.jpg","Colobane, Dakar, Sénégal","7 000CFA","Vêtements enfants"
"1765138286-525","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4284180_uploaded_image2_1688677380.jpeg","Dakar, Sénégal","6 500CFA","Pantalon en coton"
"1765138286-526","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4280858_uploaded_image1_1688492406.jpg","Guediawaye, Dakar, Sénégal","Prix sur demande","Hijab enfant"
"1765138286-527","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4273754_uploaded_image1_1687981649.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Robe enfant"
"1765138286-528","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4267451_uploaded_image1_1687487532.jpg","Dakar Plateau, Dakar, Sénégal","10 000CFA","Maillots enfants"
"1765138286-529","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4224162_uploaded_image1_1684629308.jpg","Dakar, Sénégal","13 000CFA","Sous vêtements   enfants"
"1765138286-530","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4258723_uploaded_image1_1686906445.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtements friperie enfant"
"1765138286-531","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4258722_uploaded_image3_1686906376.jpeg","Colobane, Dakar, Sénégal","Prix sur demande","Ensemble enfant"
"1765138286-532","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4258717_uploaded_image2_1686906277.jpeg","Colobane, Dakar, Sénégal","Prix sur demande","Pantalons enfant"
"1765138286-533","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4258716_uploaded_image1_1686906201.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtements friperie enfant"
"1765138286-534","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4258714_uploaded_image1_1686906133.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtements friperie enfant"
"1765138286-535","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4236342_uploaded_image1_1685480812.jpg","Parcelle Assainies, Dakar, Sénégal","Prix sur demande","Maillot enfant"
"1765138286-536","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4223428_uploaded_image1_1684582026.jpg","HLM, Dakar, Sénégal","Prix sur demande","Robes enfant"
"1765138286-537","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4223425_uploaded_image3_1684581867.jpeg","HLM, Dakar, Sénégal","Prix sur demande","Robes enfant"
"1765138286-538","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4172007_uploaded_image1_1681208524.jpg","Colobane, Dakar, Sénégal","12 000CFA","Vêtements enfants 3 piéces"
"1765138286-539","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4168633_uploaded_image1_1680958304.jpg","Colobane, Dakar, Sénégal","15 000CFA","Robe enfants"
"1765138286-540","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4168626_uploaded_image1_1680958148.jpg","Colobane, Dakar, Sénégal","15 000CFA","Robe enfants"
"1765138286-541","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4167331_uploaded_image1_1680874307.jpg","Colobane, Dakar, Sénégal","20 000CFA","Vêtements enfants Turquie"
"1765138286-542","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4167321_uploaded_image1_1680873861.jpg","Colobane, Dakar, Sénégal","18 000CFA","Vêtements enfants Turquie"
"1765138286-543","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4167311_uploaded_image1_1680873676.jpg","Colobane, Dakar, Sénégal","20 000CFA","Vêtements enfants Turquie"
"1765138286-544","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4166510_uploaded_image1_1680822103.jpg","HLM, Dakar, Sénégal","Prix sur demande","Vêtement enfant"
"1765138286-545","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4165543_uploaded_image1_1680781784.jpg","Colobane, Dakar, Sénégal","1 000CFA","Survetmemt pour enfants"
"1765138286-546","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4157493_uploaded_image1_1680338403.jpg","Colobane, Dakar, Sénégal","7 000CFA","Jeans baladeurs enfant"
"1765138286-547","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4153017_uploaded_image1_1680040477.jpg","Dakar Plateau, Dakar, Sénégal","10 000CFA","Robe enfants"
"1765138286-548","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4153014_uploaded_image1_1680040385.jpg","Dakar Plateau, Dakar, Sénégal","4 500CFA","Ensemble enfants"
"1765138286-549","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4154892_uploaded_image1_1680171892.jpg","Colobane, Dakar, Sénégal","8 000CFA","Vêtements enfants"
"1765138286-550","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4154884_uploaded_image1_1680171641.jpg","Colobane, Dakar, Sénégal","8 000CFA","Emsemble coton enfants"
"1765138286-551","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4154876_uploaded_image1_1680171312.jpg","Colobane, Dakar, Sénégal","9 000CFA","Vêtements enfant"
"1765138286-552","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4154870_uploaded_image1_1680171128.jpg","Colobane, Dakar, Sénégal","6 000CFA","Jeans pour enfants garçon"
"1765138286-553","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4154864_uploaded_image1_1680170947.jpg","Colobane, Dakar, Sénégal","7 000CFA","Jeans pour enfants filles"
"1765138286-554","https://sn.coinafrique.com/categorie/vetements-enfants?page=4","https://images.coinafrique.com/thumb_4154867_uploaded_image1_1680171042.jpg","Colobane, Dakar, Sénégal","6 000CFA","Jeans pour enfants garçon"
